,Rank,Year,Movie,WorldwideBox Office,DomesticBox Office,InternationalBox Office
0,1,2009,Avatar,2845899541,760507625,2085391916
1,2,2019,Avengers: Endgame,2797800564,858373000,1939427564
2,3,1997,Titanic,2207986545,659363944,1548622601
3,4,2015,Star Wars Ep. VII: The Force Awakens,2064615817,936662225,1127953592
4,5,2018,Avengers: Infinity War,2044540523,678815482,1365725041
5,6,2015,Jurassic World,1669979967,652306625,1017673342
6,6,2021,Spider-Man: No Way Home,1850476678,780418859,1070057819
7,8,2015,Furious 7,1516881526,353007020,1163874506
8,9,2012,The Avengers,1515100211,623357910,891742301
9,10,2019,Frozen II,1446925396,477373578,969551818
10,11,2015,Avengers: Age of Ultron,1395316979,459005868,936311111
11,12,2018,Black Panther,1336494321,700059566,636434755
12,13,2011,Harry Potter and the Deathly Hallows:…,1334392544,381193157,953199387
13,14,2017,Star Wars Ep. VIII: The Last Jedi,1331635141,620181382,711453759
14,15,2018,Jurassic World: Fallen Kingdom,1308334005,417719760,890614245
15,16,2013,Frozen,1266648320,400953009,865695311
16,17,2017,Beauty and the Beast,1255080655,504014165,751066490
17,18,2018,Incredibles 2,1242805359,608581744,634223615
18,19,2017,The Fate of the Furious,1236703796,225764765,1010939031
19,20,2013,Iron Man 3,1215392272,408992272,806400000
20,21,2015,Minions,1159631140,336045770,823585370
21,22,2016,Captain America: Civil War,1151918521,408084349,743834172
22,23,2018,Aquaman,1143758700,335061807,808696893
23,24,2019,Spider-Man: Far From Home,1131113066,390532085,740580981
24,25,2019,Captain Marvel,1129727388,426829839,702897549
25,26,2011,Transformers: Dark of the Moon,1123794079,352390543,771403536
26,27,2003,The Lord of the Rings: The Return of …,1120214046,377845905,742368141
27,28,2012,Skyfall,1110526981,304360277,806166704
28,29,2014,Transformers: Age of Extinction,1104054072,245439076,858614996
29,30,2012,The Dark Knight Rises,1082228107,448139099,634089008
30,31,2019,Toy Story 4,1073080329,434038008,639042321
31,32,2019,Star Wars: The Rise of Skywalker,1072848487,515202542,557645945
32,33,2019,Joker,1072507517,335451311,737056206
33,34,2010,Toy Story 3,1068879522,415004880,653874642
34,35,2006,Pirates of the Caribbean: Dead Manâs …,1066179725,423315812,642863913
35,36,2016,Rogue One: A Star Wars Story,1055135598,532177324,522958274
36,37,2019,Aladdin,1046649706,355559216,691090490
37,38,2011,Pirates of the Caribbean: On Stranger…,1045713802,241071802,804642000
38,39,1993,Jurassic Park,1045573035,402523348,643049687
39,40,2017,Despicable Me 3,1032596894,264624300,767972594
40,41,1999,Star Wars Ep. I: The Phantom Menace,1027044677,474544677,552500000
41,42,2010,Alice in Wonderland,1025491110,334191110,691300000
42,43,2016,Finding Dory,1025006125,486295561,538710564
43,44,2012,The Hobbit: An Unexpected Journey,1014938545,303003568,711934977
44,45,2016,Zootopia,1005304638,341268248,664036390
45,46,2008,The Dark Knight,999046281,533720947,465325334
46,47,1994,The Lion King,986214868,421785283,564429585
47,48,2013,Despicable Me 2,975216835,368065385,607151450
48,49,2001,Harry Potter and the Sorcererâs Stone,965054122,317871467,647182655
49,50,2017,Jumanji: Welcome to the Jungle,961613199,404508916,557104283
50,51,2007,Pirates of the Caribbean: At Worldâs …,960996492,309420425,651576067
51,52,2013,The Hobbit: The Desolation of Smaug,959358436,258241522,701116914
52,53,2010,Harry Potter and the Deathly Hallows:…,955371891,296131568,659240323
53,54,2016,The Jungle Book,953554418,364001123,589553295
54,55,2014,The Hobbit: The Battle of the Five Ar…,941560732,255119788,686440944
55,56,2007,Harry Potter and the Order of the Pho…,940743940,292137260,648606680
56,57,2003,Finding Nemo,936094852,380529370,555565482
57,58,2004,Shrek 2,935253978,441226247,494027731
58,59,2009,Harry Potter and the Half-Blood Prince,930673167,302089278,628583889
59,60,2002,The Lord of the Rings: The Two Towers,919148764,342548984,576599780
60,61,2007,Spider-Man 3,894860230,336530303,558329927
61,62,2018,Bohemian Rhapsody,891472999,216303339,675169660
62,63,2005,Harry Potter and the Goblet of Fire,891320084,290201752,601118332
63,64,2001,The Lord of the Rings: The Fellowship…,891216824,315544750,575672074
64,65,2009,Ice Age: Dawn of the Dinosaurs,886686817,196573705,690113112
65,66,2016,The Secret Life of Pets,885302500,368384330,516918170
66,67,2017,Spider-Man: Homecoming,880166350,334201140,545965210
67,68,2012,Ice Age: Continental Drift,879765137,161321843,718443294
68,69,2015,Spectre,879500760,200074175,679426585
69,70,2002,Harry Potter and the Chamber of Secrets,876508805,262233381,614275424
70,71,2016,Batman v Superman: Dawn of Justice,872395091,330360194,542034897
71,72,2017,Guardians of the Galaxy Vol 2,869113101,389813101,479300000
72,73,2013,The Hunger Games: Catching Fire,864868047,424668047,440200000
73,74,2015,Inside Out,855038387,356461711,498576676
74,75,2018,Venom,853530899,213511408,640019491
75,76,2017,Thor: Ragnarok,850482778,315058289,535424489
76,77,2005,Star Wars Ep. III: Revenge of the Sith,848998877,380270577,468728300
77,78,2021,"Ni Hao, Li Huan Ying",841716512,nan,841716512
78,79,2009,Transformers: Revenge of the Fallen,836519699,402111870,434407829
79,80,2017,Zhan Lang 2,835474171,2721100,832753071
80,81,2012,"The Twilight Saga: Breaking Dawn, Part 2",829724737,292324737,537400000
81,82,2002,Spider-Man,821706375,403706375,418000000
82,83,2017,Wonder Woman,818058221,412563408,405494813
83,84,1996,Independence Day,817400878,306169255,511231623
84,85,2016,Fantastic Beasts and Where to Find Them,811724385,234037575,577686810
85,86,2007,Shrek the Third,807330936,322719944,484610992
86,87,2019,Jumanji: The Next Level,800128637,316831246,483297391
87,88,2017,Coco,798237597,210460015,587777582
88,89,2017,Pirates of the Caribbean: Dead Men Te…,794861794,172558876,622302918
89,90,2004,Spider-Man 2,794697557,373524485,421173072
90,91,1982,E.T. the Extra-Terrestrial,792962972,435110554,357852418
91,92,2004,Harry Potter and the Prisoner of Azkaban,789961033,249757726,540203307
92,93,2013,Fast and Furious 6,789300444,238679850,550620594
93,94,2018,Mission: ImpossibleâFallout,787176729,220159104,567017625
94,95,2008,Indiana Jones and the Kingdom of the …,786635413,317101119,469534294
95,96,2018,Deadpool 2,786362370,324591735,461770635
96,97,2016,Deadpool,784157111,363070709,421086402
97,98,1977,Star Wars Ep. IV: A New Hope,775398007,460998007,314400000
98,99,2014,Guardians of the Galaxy,770882395,333714112,437168283
99,100,2006,The Da Vinci Code,767820459,217536138,550284321
100,102,2019,Fast & Furious Presents: Hobbs & Shaw,760381706,173956935,586424771
101,103,2014,Maleficent,758536735,241407328,517129407
102,104,2012,The Amazing Spider-Man,757890267,262030663,495859604
103,105,2009,2012,757677748,166112167,591565581
104,106,2010,Shrek Forever After,756244673,238736787,517507886
105,107,2014,X-Men: Days of Future Past,747862775,233921534,513941241
106,108,2012,Madagascar 3: Europe's Most Wanted,746921271,216391482,530529789
107,109,2016,Suicide Squad,746846894,325100054,421746840
108,110,2013,Monsters University,743455810,268488329,474967481
109,111,2019,Ne Zha Zhi Mo Tong Jiang Shi,742711251,3695533,739015718
110,112,2003,The Matrix Reloaded,738576929,281553689,457023240
111,113,2009,Up,731463377,293004164,438459213
112,114,2010,Inception,728582465,292576195,436006270
113,115,2019,Liu Lang Di Qiu,727846450,5875487,721970963
114,116,2005,"The Chronicles of Narnia: The Lion, t…",720539572,291710957,428828615
115,117,2014,Captain America: The Winter Soldier,714401889,259746958,454654931
116,118,2014,Dawn of the Planet of the Apes,710644566,208545589,502098977
117,119,2014,The Amazing Spider-Man 2,708996336,202853933,506142403
118,120,2007,Transformers,708272592,319246193,389026399
119,121,2010,The Twilight Saga: Eclipse,706102828,300531751,405571077
120,122,2017,It,701083042,328828874,372254168
121,123,2021,Tang Ren Jie Tan An 3,698994069,nan,698994069
122,124,2011,Mission: ImpossibleâGhost Protocol,694713230,209397903,485315327
123,125,2013,Gravity,689742192,274092705,415649487
124,126,2011,"The Twilight Saga: Breaking Dawn, Part 1",689420051,281287133,408132918
125,127,2015,Mission: ImpossibleâRogue Nation,688858992,195042377,493816615
126,128,2009,The Twilight Saga: New Moon,687557727,296623634,390934093
127,129,1994,Forrest Gump,679838260,330151138,349687122
128,130,2012,The Hunger Games,677923379,408010692,269912687
129,131,2016,Doctor Strange,676354481,232641920,443712561
130,132,1999,The Sixth Sense,672806292,293506292,379300000
131,133,2013,Man of Steel,667999518,291045518,376954000
132,134,2011,Kung Fu Panda 2,664837547,165249063,499588484
133,135,2021,F9: The Fast Saga,662412771,171456615,490956156
134,136,2002,Star Wars Ep. II: Attack of the Clones,656695615,310676740,346018875
135,137,2017,Justice League,655945209,229024295,426920914
136,138,2015,The Martian,655111538,228433663,426677875
137,139,2003,Pirates of the Caribbean: The Curse o…,654310819,305410819,348900000
138,140,2012,Men in Black 3,654213485,179020854,475192631
139,141,2014,Interstellar,651994868,188017894,463976974
140,142,2006,Ice Age: The Meltdown,651899282,195330621,456568661
141,143,2018,Fantastic Beasts: The Crimes of Grind…,651280475,159555901,491724574
142,144,2014,Big Hero 6,649657407,222527828,427129579
143,145,2015,The Hunger Games: Mockingjay - Part 2,648986787,281723902,367262885
144,146,2013,Thor: The Dark World,644602516,206362140,438240376
145,147,2016,Moana,635245959,248757044,386488915
146,148,2016,Sing,632483611,270329045,362154566
147,149,2008,Kung Fu Panda,631910531,215434591,416475940
148,150,2004,The Incredibles,631441092,261441092,370000000
149,151,2011,Fast Five,630163454,210031325,420132129
150,152,2007,Ratatouille,626549695,206445654,420104041
151,153,2008,Hancock,624234272,227946274,396287998
152,154,2018,Ant-Man and the Wasp,623144660,216648740,406495920
153,155,2004,The Passion of the Christ,622313635,370782930,251530705
154,156,2010,Iron Man 2,621156389,312433331,308723058
155,157,2012,Life of Pi,619310368,124987022,494323346
156,158,1997,The Lost World: Jurassic Park,618638999,229086679,389552320
157,159,2014,How to Train Your Dragon 2,614586270,177002924,437583346
158,160,2017,Logan,614202315,226277068,387925247
159,161,2005,War of the Worlds,606836535,234280354,372556181
160,162,2017,Transformers: The Last Knight,602893340,130168683,472724657
161,163,2008,Mamma Mia!,602891655,144130063,458761592
162,164,2008,Madagascar: Escape 2 Africa,599680774,180174880,419505894
163,165,2006,Casino Royale,594420283,167365000,427055283
164,166,2008,Quantum of Solace,591692078,169368427,422323651
165,167,1997,Men in Black,587790539,250690539,337100000
166,168,2011,The Hangover Part II,586764305,254464305,332300000
167,169,2010,Tangled,585574317,200821936,384752381
168,170,2007,I am Legend,585532684,256393010,329139674
169,171,2008,Iron Man,585171547,318604126,266567421
170,172,2006,Night at the Museum,579446407,250863268,328583139
171,173,2018,Ready Player One,579055653,137690172,441365481
172,174,2013,The Croods,573068425,187168425,385900000
173,175,2015,Fifty Shades of Grey,570794950,166167230,404627720
174,176,2011,The Smurfs,563749323,142614158,421135165
175,177,2017,Kong: Skull Island,561072059,168052812,393019247
176,178,2001,"Monsters, Inc.",560483719,290149425,270334294
177,179,2011,Cars 2,560155383,191450875,368704508
178,180,2005,Madagascar,556559566,193595521,362964045
179,181,2012,Ted,556016627,218665740,337350887
180,182,2004,The Day After Tomorrow,555840117,186740799,369099318
181,183,2011,Puss in Boots,554987477,149260504,405726973
182,184,2012,Brave,554606532,237282182,317324350
183,185,1998,Armageddon,554600000,201578182,353021818
184,186,2005,King Kong,550517357,218080025,332437332
185,187,2000,Mission: Impossible 2,549588516,215409889,334178627
186,188,1980,Star Wars Ep. V: The Empire Strikes Back,549001242,291738960,257262282
187,189,2014,American Sniper,547326372,350126372,197200000
188,190,2018,Tang Ren Jie Tan An 2,544068574,1983984,542084590
189,191,2010,Despicable Me,543464573,251513985,291950588
190,192,2016,X-Men: Apocalypse,542537546,155442489,387095057
191,193,2011,Sherlock Holmes: A Game of Shadows,535663443,186848418,348815025
192,194,2015,Cinderella,534551353,201151353,333400000
193,195,2018,Hong Hai Xing Dong,533601535,1543547,532057988
194,196,2015,The Revenant,532938302,183637894,349300408
195,197,2008,WALL-E,532508025,223808164,308699861
196,198,2013,World War Z,531861650,202706711,329154939
197,199,2018,Ralph Breaks The Internet,529290830,201091711,328199119
198,200,2014,Godzilla,529076069,200676069,328400000
199,202,2018,The Meg,527370715,145443742,381926973
200,203,2018,Hotel Transylvania 3: Summer Vacation,527103195,167500092,359603103
201,204,2007,The Simpsons Movie,527071022,183135014,343936008
202,205,2016,Mei Ren Yu,525018479,3229457,521789022
203,206,2019,How to Train Your Dragon: The Hidden …,522746363,160799505,361946858
204,207,2016,Kung Fu Panda 3,521170825,143528619,377642206
205,208,2017,Dunkirk,519452014,190068280,329383734
206,209,2015,Ant-Man,518858449,180202163,338656286
207,210,1990,Ghost,517600000,217631306,299968694
208,211,2004,Meet the Fockers,516567575,279167575,237400000
209,212,1991,Terminator 2: Judgment Day,515390883,203464105,311926778
210,213,2018,Dr. Seussâ The Grinch,514602427,270834950,243767477
211,214,1999,Toy Story 2,511358276,245852179,265506097
212,215,1992,Aladdin,504050219,217350219,286700000
213,216,2009,Sherlock Holmes,498438212,209028679,289409533
214,217,2012,Wreck-It Ralph,496511521,189412677,307098844
215,218,1996,Twister,495700000,241688385,254011615
216,219,2010,How to Train Your Dragon,494870992,217581232,277289760
217,220,2010,Clash of the Titans,493214888,163214888,330000000
218,221,2014,Rio 2,492846291,131538435,361307856
219,222,2001,Shrek,491812794,267655011,224157783
220,223,2009,Angels & Demons,490875846,133375846,357500000
221,224,2013,Oz the Great and Powerful,490359051,234770996,255588055
222,225,2017,War for the Planet of the Apes,489592267,146880162,342712105
223,226,2019,Maleficent: Mistress of Evil,489346495,113929605,375416890
224,227,2011,Rio,487519809,143619809,343900000
225,228,2005,Mr. and Mrs. Smith,486124090,186336279,299787811
226,229,1998,Saving Private Ryan,485035085,216335085,268700000
227,230,2014,Teenage Mutant Ninja Turtles,485004754,191204754,293800000
228,231,2012,Les Intouchables,484630908,13182281,471448627
229,232,2003,Bruce Almighty,484468608,242704995,241763613
230,233,2004,Troy,483152040,133298577,349853463
231,234,2020,Kimetsu no Yaiba: Mugen Ressha-Hen,477926595,47700000,430226595
232,235,1990,Home Alone,476684675,285761243,190923432
233,236,2005,Charlie and the Chocolate Factory,475825484,206459076,269366408
234,237,1983,Star Wars Ep. VI: Return of the Jedi,475106177,309205079,165901098
235,238,1989,Indiana Jones and the Last Crusade,474171806,197171806,277000000
236,239,2020,Ba bai,472643830,nan,472643830
237,240,2011,Rise of the Planet of the Apes,470986200,176760185,294226015
238,241,1975,Jaws,470700000,260000000,210700000
239,242,2019,It: Chapter Two,469566806,211593228,257973578
240,243,2015,Hotel Transylvania 2,469500298,169700110,299800188
241,244,2014,The Lego Movie,468084718,257784718,210300000
242,245,2021,Godzilla vs. Kong,467863133,100563133,367300000
243,246,2013,Star Trek Into Darkness,467381584,228778661,238602923
244,247,2009,The Hangover,465487583,277322503,188165080
245,248,2019,Wo he wo de zu guo,465418019,2323409,463094610
246,249,1999,The Matrix,465377200,173396389,291980811
247,250,2018,Bumblebee,465195589,127195589,338000000
248,251,2006,Cars,461630558,244082982,217547576
249,252,2006,X-Men: The Last Stand,459260946,234362462,224898484
250,253,1996,Mission: Impossible,457697994,180981886,276716108
251,254,2000,Gladiator,457552323,187683805,269868518
252,255,2014,Lucy,457507776,126573960,330933816
253,256,2007,National Treasure: Book of Secrets,457325804,219961501,237364303
254,257,2003,The Last Samurai,456810575,111110575,345700000
255,258,2015,San Andreas,456258539,155190832,301067707
256,259,2007,300,454161935,210614939,243546996
257,260,2018,Wo Bi Shi Yao Shen,451183392,6752,451176640
258,261,2001,Ocean's Eleven,450728529,183417150,267311379
259,262,2012,Django Unchained,449841566,162805434,287036132
260,263,2011,Thor,449326618,181030624,268295994
261,264,2001,Pearl Harbor,449239853,198539855,250699998
262,265,1999,Tarzan,448191819,171091819,277100000
263,266,2019,The Secret Life of Pets 2,446273015,158874395,287398620
264,267,2016,La La Land,445607848,151101803,294506045
265,268,2007,The Bourne Ultimatum,444043396,227471070,216572326
266,269,2009,Alvin and the Chipmunks: The Squeakquel,443483213,219614612,223868601
267,270,2002,Men in Black 2,441767803,190418803,251349000
268,271,1993,Mrs. Doubtfire,441286003,219195051,222090952
269,272,2016,Warcraft,438899824,47365290,391534534
270,273,1991,Beauty and the Beast,438656843,206333165,232323678
271,274,2012,Les MisÃ©rables,438420442,148809770,289610672
272,275,2001,The Mummy Returns,435040395,202007640,233032755
273,276,2017,The Greatest Showman,434473253,174340174,260133079
274,277,2020,Wo He Wo De Jia Xiang,433241288,nan,433241288
275,278,2003,Terminator 3: Rise of the Machines,433058296,150358296,282700000
276,279,1990,Pretty Woman,432566361,178406268,254160093
277,280,2015,Terminator: Genisys,432150894,89760956,342389938
278,281,2019,PokÃ©mon: Detective Pikachu,431947558,144105346,287842212
279,282,2002,Die Another Day,431942139,160942139,271000000
280,283,2018,A Star is Born,431870523,215288866,216581657
281,284,2010,The Kingâs Speech,430821168,138797449,292023719
282,285,1973,The Exorcist,428214478,230347346,197867132
283,286,2018,Rampage,427947217,101028233,326918984
284,287,2003,The Matrix Revolutions,427300260,139270910,288029350
285,288,2000,Cast Away,427230516,233632142,193598374
286,289,2020,Bad Boys For Life,424536881,204417855,220119026
287,290,1990,Dances with Wolves,424208805,184208842,239999963
288,291,2010,The Chronicles of Narnia: The Voyage …,418186950,104386950,313800000
289,292,2019,Zhongguo jizhang,417850370,706572,417143798
290,293,2008,The Chronicles of Narnia: Prince Caspian,417341288,141621490,275719798
